time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-05T10:54:14.110Z,19.5158333,-155.668,4.79,2.59,ml,58,51,0.03386,0.13,hv,hv71262791,2019-12-05T21:04:08.940Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.27,0.29,0.154,41,reviewed,hv,hv
2019-12-05T10:49:02.020Z,35.5583333,-117.4343333,4.78,3.13,ml,39,55,0.06293,0.15,ci,ci39217824,2019-12-07T06:28:23.040Z,"23km ESE of Ridgecrest, CA",earthquake,0.15,0.35,0.165,124,reviewed,ci,ci
2019-12-05T09:44:33.687Z,60.2188,-150.6994,34.5,2.5,ml,,,,0.9,ak,ak019fkst1wp,2019-12-05T09:56:03.040Z,"35km S of Sterling, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-12-05T08:55:31.650Z,35.6966667,-117.6116667,8.17,3.79,mw,44,42,0.06267,0.16,ci,ci39217768,2019-12-06T08:57:22.736Z,"10km NE of Ridgecrest, CA",earthquake,0.14,0.36,,6,reviewed,ci,ci
2019-12-05T08:54:08.830Z,19.2866,-67.2711,43,2.88,md,8,305,0.8346,0.33,pr,pr2019339005,2019-12-07T06:23:46.040Z,"85km N of San Antonio, Puerto Rico",earthquake,2.53,11.58,0.38,8,reviewed,pr,pr
2019-12-05T08:49:24.068Z,43.374,147.7128,10,4.9,mb,,136,3.622,0.75,us,us60006mbm,2019-12-05T09:18:09.040Z,"93km ESE of Shikotan, Russia",earthquake,4.1,1.9,0.054,105,reviewed,us,us
2019-12-05T08:01:54.923Z,-29.7258,-71.3697,48.04,4.2,mb,,136,0.223,0.87,us,us60006mb8,2019-12-05T08:23:08.040Z,"23km NNW of La Serena, Chile",earthquake,4.9,7.5,0.176,9,reviewed,us,us
2019-12-05T07:54:07.568Z,40.3699,78.3173,38.78,4.5,mb,,74,1.074,0.8,us,us60006mb5,2019-12-05T08:41:05.040Z,"184km WSW of Aksu, China",earthquake,5,8.7,0.139,15,reviewed,us,us
2019-12-05T07:45:34.621Z,57.1198,-157.6,2,3.3,ml,,,,0.75,ak,ak019fkrmekh,2019-12-05T18:26:43.315Z,"116km NE of Chignik Lake, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2019-12-05T07:22:43.409Z,36.1342,21.8561,41.78,4.4,mb,,161,1.044,0.62,us,us60006max,2019-12-06T09:31:47.040Z,"74km S of Koroni, Greece",earthquake,7.2,4,0.107,25,reviewed,us,us
2019-12-05T05:12:40.110Z,19.3173,-67.463,45,3.49,md,12,306,0.9197,0.32,pr,pr2019339003,2019-12-05T09:44:59.040Z,"93km NNW of San Antonio, Puerto Rico",earthquake,2.28,8.58,0.11,11,reviewed,pr,pr
2019-12-05T04:22:19.940Z,19.5156667,-155.6641667,5.22,2.74,ml,19,79,0.03169,0.11,hv,hv71262386,2019-12-05T22:09:39.033Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.4,0.65,0.16,45,reviewed,hv,hv
2019-12-05T04:17:40.459Z,43.3793,147.8586,10,4.8,mb,,213,3.723,0.54,us,us60006m9q,2019-12-05T04:36:57.040Z,"103km ESE of Shikotan, Russia",earthquake,11.3,2,0.102,30,reviewed,us,us
2019-12-05T03:38:33.227Z,-24.1811,-67.0186,230.14,4.3,mb,,76,1.621,0.59,us,us60006m8z,2019-12-05T03:49:45.040Z,"71km W of San Antonio de los Cobres, Argentina",earthquake,10.5,15.7,0.308,3,reviewed,us,us
2019-12-05T03:26:38.790Z,33.93,-117.8741667,9.29,3.04,ml,131,15,0.04396,0.25,ci,ci39217512,2019-12-07T06:14:43.844Z,"3km ENE of Brea, CA",earthquake,0.14,0.36,0.165,209,reviewed,ci,ci
2019-12-05T03:23:16.996Z,-13.6799,-76.088,14.85,5.3,mww,,138,1.836,0.77,us,us60006m8p,2019-12-05T19:40:41.040Z,"6km ESE of San Clemente, Peru",earthquake,8,4.5,0.08,15,reviewed,us,us
2019-12-05T03:17:06.470Z,19.4898,-63.9883,40,3.65,md,8,347,2.2974,0.35,pr,pr2019339001,2019-12-05T05:08:24.230Z,"135km NNE of Road Town, British Virgin Islands",earthquake,7.77,27.86,0.2,7,reviewed,pr,pr
2019-12-05T03:13:07.060Z,35.6423333,-117.466,2.56,2.5,ml,30,56,0.04784,0.15,ci,ci39217488,2019-12-05T09:12:41.437Z,"15km SSW of Searles Valley, CA",earthquake,0.21,0.36,0.192,25,automatic,ci,ci
